Categories,pos_input,pos_output,pos_explanation,neg_input,neg_output,neg_explanation
Text Matching,"I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most. 
 Summary: Good Quality Dog Food",True,"The customer talked about dog food which was good. So, it's a correct Summary. So, the correct answer is true.","My daughter loves twizzlers and this shipment of six pounds really hit the spot. It's exactly what you would expect...six packages of strawberry twizzlers. 
 Summary: Lots of twizzlers, just what you expect.",Correct,"It's only supposed to say if the Polarity of given review is ""True"" or ""False"""
Question Answering,Roman Yakub won first price in a Choral Composition Competition at a liberal arts college founded by who?,William Egbert,"This is a good example, and output correctly answers the question.","Which institution receives more support from their country's military, Instituto Militar de Engenharia, or California State University, Bakersfield?","California State University, Bakersfield","The correct output should be ""The Instituto Militar de Engenharia""."
Linguistic Probing,Bob helped himself to some food.,good,The use of himself agrees with the singular subject Bob.,Bob revealed themselves to the workers.,good,The sentence's use of themselves does not agree with the subject Bob.
Misc.,"Category: EVERYBODY TALKS ABOUT IT... 
Clue: In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state",washington,"Rainier Paradise Ranger Station is located in the Mount Rainier National Park, which is located south of Seattle in the state of Washington.","Category: HISTORY 
Clue: Built in 312 B.C. to link Rome & the South of Italy, it's still in use today",the silk road,"The correct answer is actually the Appian Way. The Silk Road is no longer in use and actually connected all of Europe, Africa, the Middle East, and Asia. The Silk Road also did not go through Italy, though it did emerge around 200 B.C.."
Question Answering,"story : Honolulu is the capital and largest city of the U.S. state of Hawaii. It is an unincorporated part of and the county seat of the City and County of Honolulu on the island of Oahu. The city is the main gateway to Hawaii and a major portal into the United States. The city is also a major hub for international business, military defense, as well as famously being host to a diverse variety of east-west and Pacific culture, cuisine, and traditions. 

Honolulu is the most remote city of its size in the world and is the westernmost major U.S. city. For statistical purposes, the U.S. Census Bureau recognizes the approximate area commonly referred to as ""City of Honolulu"" (not to be confused with the ""City and County"") as a census county division (CCD). Honolulu is a major financial center of the islands and of the Pacific Ocean. The population of the city of Honolulu was 337,256 as of the 2010 census, while the Honolulu CCD was 390,738 and the population of the consolidated city and county was 953,207. 

""Honolulu"" means ""sheltered harbor"" or ""calm port"". The old name is said to be Kou, a district roughly encompassing the area from Nuuanu Avenue to Alakea Street and from Hotel Street to Queen Street which is the heart of the present downtown district. The city has been the capital of the Hawaiian Islands since 1845 and gained historical recognition following the attack on Pearl Harbor by Japan near the city on December 7, 1941. question: What does Honolulu mean?",sheltered harbor,"This answer for the given question is based on the following sentence from the passage - ""Honolulu"" means ""sheltered harbor"" or ""calm port"" and this is answerable from the passage. So, it is a good answer.","story: ""DirecTV (stylized as DIRECTV or simply DTV) is an American direct broadcast satellite service provider based in El Segundo, California and is a subsidiary of AT&T. Its satellite service, launched on June 17, 1994, transmits digital satellite television and audio to households in the United States, Latin America and the Caribbean. Its primary competitors are Dish Network and cable television providers. On July 24, 2015, after receiving approval from the United States Federal Communications Commission and United States Department of Justice, AT&T acquired DirecTV in a transaction valued at $48.5 billion. 

DirecTV provides television and audio services to subscribers through satellite transmissions. Services include the equivalent of many local television stations, broadcast television networks, subscription television services, satellite radio services, and private video services. Subscribers have access to hundreds of channels, so its competitors are cable television service and other satellite-based services. 

Most subscribers use reception antennas which are much smaller than the first generation antennas, which were typically a few yards (meters) across. Advances in antenna technology, including fractal antennas, have allowed a general reduction in antenna size across all industries and applications. Receiving equipment includes a satellite dish, an integrated receiver/decoder and a DirecTV access card, which is necessary to operate the receiver/decoder."", ""question: "" ""where are they headquartered?""",a dead end street,This is an example of a bad answer because it is not answered from the given passage. Instead generate an answer that is being answered from the given passage and the question
Question Answering,"Joan found 70 seashells on the beach. She gave Sam some of her seashells, after which she has 27 seashell left. How many seashells did she give to Sam?",43.0,"The total number of seashells found by Joan is 70. Since she now has 27 seashells left, it implies that she gave 70-27 = 43 seashells to Sam. Hence the correct answer till 1st decimal place is 43.0.","There are 22 walnut trees currently in the park. Park workers will plant walnut trees today. After the workers are finished, there are 55 walnut trees in the park. How many walnut trees did the workers plant today?",77.0,The number of walnut trees at the end of the day are 55 and it's given that 22 walnut trees were already present. So the number of trees that the workers planted today will be 54-22 = 32. Hence the correct answer till 1st decimal place should be 32.0.
Program Execution,"[163, 290, 90, 51, 96, 86, 282, 265, 10, 85, 91, 201, 68, 126, 26, 228, 229, 236, 31, 71], k=14",201,201 is the 14th smallest element in the input list.,"[237, 60, 299, 274, 277, 46, 21, 42, 117, 37, 83, 281, 192, 127, 92, 218, 57, 143, 132, 99], k=4",60,60 is not the 4th smallest element in the input list. 46 is the 4th smallest element.
Program Execution,Repeat 5 times hello world,hello world hello world hello world hello world hello world,Here the phrase `hello word' is repeated 5 times.,Repeat 5 times hello world,hello world,Here the phrase `hello word' needs to be repeated 5 times. The given answer is a bad answer since it is repeated only once.
Program Execution,Sentence: 'breakfast and a glass of milk is on the table'. Remove all words of length '3' in the given sentence.,breakfast a glass of milk is on table,"Words 'and', 'the' are of length 3. So they are correctly removed.",Sentence: 'white horse looking over shoulder in enclosure of wood'. Remove all words of length '2' in the given sentence.,white horse looking over shoulder enclosure of wood,"The words 'in', and 'of' are of length 2. However, the word 'of' is not removed."
Question Answering,"If k is an integer and \(k = \frac { m } { 3 } \) which of the following must be true? I. m is an even number. II. m is a multiple of 3. III. m is an odd number.
(A)I only (B)II only (C)III only (D)I and II only (E)I, II, and III",B,"m isn’t necessarily an even or odd number so A,D,E,C are incorrect. for frac { m } { 3 } to be an integer m must be a multiple of 3. ","If k is an integer and \(k = \frac { m } { 3 } \) which of the following must be true? I. m is an even number. II. m is a multiple of 3. III. m is an odd number.
(A)I only (B)II only (C)III only (D)I and II only (E)I, II, and III",I dont know.,"Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D', 'E'."
