,answerability_classification,cause_effect_classification,textual_entailment,eval_exact_match
xlingual,79.0,54.5667,20.0,50.7429
xlingual_delete_0.1,61.0,53.9,15.6667,49.3429
xlingual_delete_5,61.0,54.6,18.0,50.1429
xlingual_delete_10,62.0,54.2667,14.3333,49.5714
xlingual_stopword,68.0,54.0333,19.0,49.9714
xlingual_insert_5,63.0,54.3667,19.6667,50.1429
xlingual_insert_10,70.0,54.1667,18.0,50.0571
xlingual_repeat_first,69.0,55.0,17.3333,50.6857
xlingual_repeat_last,68.0,54.9333,17.3333,50.6
xlingual_repeat_sentences,72.0,53.9,18.3333,49.8857
xlingual_replace,78.0,52.7333,21.0,49.2571
xlingual_shuffle_sentences,72.0,54.0667,19.3333,50.0857
