,answerability_classification,cause_effect_classification,textual_entailment,eval_exact_match
xlingual,70.0,53.0667,16.6667,48.9429
xlingual_repeat_first,69.0,55.0,17.3333,50.6857
xlingual_repeat_last,68.0,54.9333,17.3333,50.6
xlingual_stopword,68.0,54.0333,19.0,49.9714
xlingual_delete_5,79.8971222554705,79.8971222554705,79.8971222554705,79.8971222554705
xlingual_delete_10,79.7437192901495,79.7437192901495,79.7437192901495,79.7437192901495
xlingual_insert_5,79.46268180276577,79.46268180276577,79.46268180276577,79.46268180276577
xlingual_insert_10,80.42876232134526,80.42876232134526,80.42876232134526,80.42876232134526
xlingual_replace_5,79.23004749339785,79.23004749339785,79.23004749339785,79.23004749339785
xlingual_replace_10,78.78674433684188,78.78674433684188,78.78674433684188,78.78674433684188
xlingual_repeat_sentences,80.59932993047143,80.59932993047143,80.59932993047143,80.59932993047143
xlingual_shuffle_sentences,79.68582496417575,79.68582496417575,79.68582496417575,79.68582496417575
