,answerability_classification,cause_effect_classification,textual_entailment,eval_exact_match
xlingual,70.0,53.0667,16.6667,48.9429
xlingual_repeat_first,69.0,55.0,17.3333,50.6857
xlingual_repeat_last,68.0,54.9333,17.3333,50.6
xlingual_stopword,68.0,54.0333,19.0,49.9714
xlingual_delete_5,308.3506423216533,308.3506423216533,308.3506423216533,308.3506423216533
xlingual_delete_10,308.2369174970729,308.2369174970729,308.2369174970729,308.2369174970729
xlingual_insert_5,308.4167491496537,308.4167491496537,308.4167491496537,308.4167491496537
xlingual_insert_10,308.5748354710191,308.5748354710191,308.5748354710191,308.5748354710191
xlingual_replace_5,308.48138982897933,308.48138982897933,308.48138982897933,308.48138982897933
xlingual_replace_10,308.50964295928503,308.50964295928503,308.50964295928503,308.50964295928503
xlingual_repeat_sentences,308.682220539571,308.682220539571,308.682220539571,308.682220539571
xlingual_shuffle_sentences,308.3653189971614,308.3653189971614,308.3653189971614,308.3653189971614
