,title_generation,eval_rougeL
xlingual,6.8095,50.613
xlingual_repeat_first,9.4238,52.4849
xlingual_repeat_last,9.4238,52.4849
xlingual_stopword,6.8714,51.6548
xlingual_delete_5,308.3506423216533,308.3506423216533
xlingual_delete_10,308.2369174970729,308.2369174970729
xlingual_insert_5,308.4167491496537,308.4167491496537
xlingual_insert_10,308.5748354710191,308.5748354710191
xlingual_replace_5,308.48138982897933,308.48138982897933
xlingual_replace_10,308.50964295928503,308.50964295928503
xlingual_repeat_sentences,308.682220539571,308.682220539571
xlingual_shuffle_sentences,308.3653189971614,308.3653189971614
